ABX Air;ABX;ABEX; Estados Unidos
PSA Airlines;JIA;BLUE STREAK; Estados Unidos
Farnair Hungary;FAH;BLUE STRIP; Hungria
Finnaviation;FAV;BLUEBIRD; Finlandia
Pacific Blue;PBI;BLUEBIRD; Nueva Zelanda
IMP Aviation Service;BLU;BLUENOSE; Canada
TUIfly Nordic;BLX;BLUESCAN; Suecia
Maersk Air UK;MSK;BLUESTAR; Reino Unido
Bo-S-Aire Airlines;BAA;BOWMAN AIR; Estados Unidos
Braathens;BRA;BRAATHENS; Noruega
Braniff International Airways;BNF;BRANIFF; Estados Unidos
Republic Airlines;RPA;BRICKYARD; Estados Unidos
British International Helicopters;BIH;BRINTEL; Reino Unido
Britannia Airways;BAL;BRITANNIA; Reino Unido
BA Connect;BRT;BRITISH; Reino Unido
Air Foyle Charter Airways;UPD;BROADSWORD; Reino Unido
Royal Brunei Airlines;RBA;BRUNEI; Brunei
Buffalo Airways;BFL;BUFFALO; Canada
Busy Bee of Norway;BEE;BUSYBEE; Noruega
Patriot Aviation;BYT;BYTE; Reino Unido
TACV - Transportes Aereos de Cabo Verde;TCV;CABOVERDE; Cabo Verde
America West Airlines;AWE;CACTUS; Estados Unidos
Cape Air;KAP;CAIR; Estados Unidos
British Caledonian;BCA;CALEDONIAN; Reino Unido
Cameroon Airlines;UYC;CAM-AIR; Camerun
Canadian Airlines International;CDN;CANADIAN; Canada
Canarias Airlines;RSC;CANAIR; Espana
Canjet Airlines;CJA;CANJET; Canada
Capital Air Service;CPX;CAPAIR; Estados Unidos
Civil Air Patrol;CPF;CAP-FLIGHT; Estados Unidos
Capital Cargo International Airlines;CCI;CAPPY; Estados Unidos
Safair;SFR;CARGO; Sudafrica
China Cargo Airlines;CKK;CARGO KING; China
Cargojet Airways;CJT;CARGOJET; Canada
Cargolux Airlines International;CLX;CARGOLUX; Luxemburgo
Caribbean Airways;IQQ;CARIBJET; Barbados
Aviair Aviation;AVF;CARIBOO; Canada
Cascade Airways;CCD;CASCADE; Estados Unidos
Cathay Pacific Airways;CPA;CATHAY; Hong Kong
Cayman Airways;CAY;CAYMAN; Islas Caiman
Caribbean Airlines;BWA;CARIBBEAN AIRLINES; Trinidad y Tobago
Cebu Pacific;CEB;CEBU; Filipinas
Middle East Airlines;MEA;CEDAR JET; Libano
Centurion Air Cargo;CWC;CHALLENGE CARGO; Estados Unidos
Champion Air;CCP;CHAMPION AIR; Estados Unidos
Air Great Wall;CGW;CHANGCHENG; China
Channel Express;EXS;CHANNEX; Reino Unido
Faucett;CFP;CHARLIE FOXTROT; Peru
Chautauqua Airlines;CHQ;CHAUTAUQUA; Estados Unidos
China Eastern Airlines;CES;CHINA EASTERN; China
China Southern Airlines;CSN;CHINA SOUTHERN; China
Polo Aviation;CUK;CHUKKA; Reino Unido
AirTran Airways;TRS;CITRUS; Estados Unidos
KLM Cityhopper;KLC;CITY; Paises Bajos
CityJet;BCY;CITY-IRELAND; Irlanda
German Air Rescue;AMB;CIVIL AIR AMBULANCE; Alemania
Click Mexicana;CBE;CLICK; Mexico
Clickair;AIS;CLICKAIR; Espana
Centreline Air;CLF;CLIFTON; Reino Unido
Pan American World Airways;PAA;CLIPPER; Estados Unidos
Boston-Maine Airways;CXS;CLIPPER CONNECTION; Estados Unidos
Base Regional Airlines;BRO;COASTRIDER; Paises Bajos
Platinum Air Charter Executive;COB;COBHAM; Reino Unido
Colgan Air;CJC;COLGAN; Estados Unidos
Comair;COM;COMAIR; Estados Unidos
Prince Edward Air;CME;COMET; Canada
CommutAir;UCA;COMMUTAIR; Estados Unidos
Japan Air Commuter;JAC;COMMUTER; Japon
Kalitta Air;CKS;CONNIE; Estados Unidos
Constellation Airlines;CIN;CONSTELLATION; Belgica
Continental Airlines;COA;CONTINENTAL; Estados Unidos
Air Contractors;ABR;CONTRACT; Irlanda
Copa Airlines;CMP;COPA; Panama
CCM Airlines;CCM;CORSICA; Francia
Aerolitoral;SLI;COSTERA; Mexico
Coval Air;CVL;COVAL; Canada
Air Creebec;CRQ;CREE; Canada
ValuJet Airlines;VJA;CRITTER; Estados Unidos
Croatia Airlines;CTN;CROATIA; Croacia
Czech Airlines;CSA;CSA-LINES; Republica Checa
Cubana de Aviacion;CUB;CUBANA; Cuba
Air Foyle Airways;UPC;CUTLASS; Reino Unido
Cyprus Airways;CYP;CYPRUS; Chipre
Quick Air;QAJ;DAGOBERT; Alemania
Astar Air Cargo (DHL);DHL;DAHL; Estados Unidos
Dairo Air Services;DSR;DAIRAIR; Uganda
Danish Air Transport;DTR;DANISH; Dinamarca
Air Deccan;DKN;DECCAN; India
Air Comet Chile;DLU;DEL SUR; Chile
Delta Air Lines;DAL;DELTA; Estados Unidos
Denim Air;DNM;DENIM; Paises Bajos
Dragonair;HDA;DRAGON; Hong Kong
CityBird;CTB;DREAMFLIGHT; Belgica
TAAG Angola Airlines;DTA;DTA; Angola
East African Safari Air;HSA;DUMA; Kenia
Centre Airlines;DTV;DUTCH VALLEY; Estados Unidos
DutchBird;DBR;DUTCHBIRD; Paises Bajos
Aeroflot-Nord;AUL;DVINA; Rusia
Dynamic Air;DYE;DYNAMITE; Paises Bajos
China Airlines;CAL;DYNASTY; Taiwan
American Eagle;EGF;EAGLE FLIGHT; Estados Unidos
Eastern Air Lines;EAL;EASTERN; Estados Unidos
Eastern Air Executive;EAX;EASTEX; Reino Unido
Eastern Airways;EZE;EASTFLIGHT; Reino Unido
EasyFly;ESY;EASYFLY; Colombia
EasyJet;EZY;EASY; Reino Unido
European Executive Express;EXC;ECHO EXPRESS; Suecia
EgyptAir;MSR;EGYPTAIR; Egipto
El Al - Israel Airlines;ELY;ELAL; Israel
Canada 3000;CMM;ELITE; Canada
Emirates Airline;UAE;EMIRATES; Emiratos arabes Unidos
Empire Airways;CFS;EMPIRE AIR; Estados Unidos
Canadian North;MPE;EMPRESS; Canada
Ross Aviation;NRG;ENERGY; Estados Unidos
Estonian Air;ELL;ESTONIAN; Estonia
Etihad Airways;ETD;ETIHAD; Emiratos arabes Unidos
Euroair Transport;URO;EUROAIR; Reino Unido
EuroAtlantic Airways;MMZ;EUROATLANTIC; Portugal
CAT Aviation;CAZ;EUROCAT; Suiza
European Aviation Air Charter;EAF;EUROCHARTER; Reino Unido
Trans European Airlines;TEG;EUROLINES; Grecia
Euromanx;EMX;EUROMANX; Austria
European Air Transport;BCS;EUROTRANS; Belgica
Euro Transit;EUT;EUROTRANSIT; Alemania
EVA Airways;EVA;EVA; Taiwan
NetJets Aviation;EJA;EXECJET; Estados Unidos
Air Exel Netherlands;AXL;EXEL COMMUTER; Paises Bajos
Air India Express;AXB;EXPRESS INDIA; India
South African Express;EXY;EXPRESSWAYS; Sudafrica
XL Airways;XLA;EXPO; Reino Unido
Tulip Air Charter;FRN;FARNAIR EUROPE; Paises Bajos
Atlantic Airways;FLI;FAROELINE; Islas Feroe
Fast Air;FST;FASTER; Chile
Federal Express Corporation;FDX;FEDEX; Estados Unidos
Bae Systems (Corporate Air Travel) Ltd;BAE;FELIX; Reino Unido
Stratford Airways;FCA;FESTIVAL CITY; Canada
Finnair;FIN;FINNAIR; Finlandia
Dravidian Air Services;DRA;FIRESTONE; Reino Unido
First Air;FAB;FIRST AIR; Canada
CitationShares;FIV;FIVE STAR; Estados Unidos
Pinnacle Airlines;FLG;FLAGSHIP; Estados Unidos
Nuernberger Flugdienst Luftverkehrs;NFD;FLAMINGO; Alemania
Bombardier Business Jet Solutions;LXJ;FLEX JET; Estados Unidos
Woodbury Park Flight Operations;RDE;FLIGHT RED; Reino Unido
Kelowna Flightcraft;KFA;FLIGHTCRAFT; Canada
Flightline;FLT;FLIGHTLINE; Reino Unido
EFS Flugservice Gmbh;FSD;FLUGSERVICE; Alemania
Duo Airways;DUO;FLY DUO; Reino Unido
Hello;FHE;FLY HELLO; Suiza
African International Airways;AIN;FLYCARGO; Suazilandia
BA CityFlyer;CFE;FLYER; Reino Unido
Bulgaria Air;LZB;FLYING BULGARIA; Bulgaria
Niki;NLY;FLYNIKI; Austria
Astraeus;AEU;FLYSTAR; Reino Unido
Zoom Airlines Limited;UKZ;FLYZOOM; Reino Unido
Air Foyle;UPA;FOYLA; Reino Unido
NetJets Europe;NJE;FRACTION; Portugal
Freedom Airlines;FRL;FREEDOM AIR; Estados Unidos
Saber Aviation;SBR;FREIGHTER; Estados Unidos
AOM French Airlines;AOM;FRENCH LINES; Francia
Air Caraibes;FWI;FRENCH WEST; Guadalupe
Frontier Airlines;FFT;FRONTIER FLIGHT; Estados Unidos
LTE International Airways;LTE;FUN JET; Espana
GB Airways;GBL;GEEBEE AIRWAYS; Reino Unido
GT Aviation;GTA;GEETEE AVIA; Reino Unido
Germanwings;GWI;GERMAN WINGS; Alemania
Germania Fluggesellschaft;GMI;GERMANIA; Alemania
Brendan Airways ;GWY;GETAWAY; Estados Unidos
Atlas Air;GTI;GIANT; Estados Unidos
Central Mountain Air;GLR;GLACIER; Canada
Flyglobespan;GSM;GLOBESPAN; Reino Unido
Eurojet Aviation;GOJ;GOJET; Reino Unido
Gol Transportes Aereos;GLO;GOL; Brasil
Williams Grand Prix Racing;WGP;GRAND PRIX; Reino Unido
Business Air;GNT;GRANITE; Reino Unido
Air Greenland;GRL;GREENLAND; Groenlandia
Gun's Roses Airways;GRA;Gun's Roses; Colombia
Gulf Air Company;GFA;GULF AIR; Bahamas
Gulfstream International Airlines;GFT;GULF FLIGHT; Estados Unidos
Universal Airlines;UVG;GUYANA JET; Guyana
Eagle Aviation;GYP;GYPSY; Reino Unido
NAC Air;HMR;HAMMER; Canada
Hapag-Lloyd Flug;HLF;HAPAG LLOYD; Alemania
Harmony Airways;HMY;HARMONY; Canada
Hawaiian Airlines;HAL;HAWAIIAN; Estados Unidos
Heli Air Services;HLR;HELI BULGARIA; Bulgaria
Helikopter Service;HKS;HELIBUS; Noruega
Norsk Luftambulanse;DOC;HELIDOC; Noruega
Highland Airways;HWY;HIWAY; Reino Unido
Kreiger Airlines;CRX;HONDA; India
Hong Kong Express Airways;HKE;HONGKONG SHUTTLE; Hong Kong
Grant Aviation;GUN;HOOT; Estados Unidos
Horizon Air-Taxi;HOR;HORIZON; Suiza
Horizon Air;QXE;HORIZON AIR; Estados Unidos
Air Tchad;HTT;HOTEL TANGO; Chad
Liberian World Airlines;LWA;HOTEL YANKEE; Liberia
Hummingbird Island Airways;HUM;HUM; Maldivas
Iberia Lineas Aereas de Espana;IBE;IBERIA; Espana
Icelandair;ICE;ICEAIR; Islandia
Indian Airlines Corporation;IAC;INDAIR; India
Independence Air;IDE;INDEPENDENCE; Estados Unidos
Garuda Indonesia;GIA;INDONESIA; Indonesia
Industrie Air Charter;IAZ;INDUSCHART; Francia
Interflug;IFL;INTERFLUG; Alemania Occidental
Sunways Intersun Havacilik;SWW;INTERSUN; Turquia
Indonesia Air Transport;IDA;INTRA; Indonesia
Iran Air;IRA;IRANAIR; Iran
Irish Air Transport;RDK;IRISH TRANS; Irlanda
Israir;ISR;ISRAIR; Israel
Japan Transocean Air;JTA;JAI OCEAN; Japon
Air Jamaica;AJM;JAMAICA; Jamaica
JAL Express;JEX;JANEX; Japon
Japan Airlines;JAL;JAPANAIR; Japon
Jat Airways;JAT;JAT; Serbia
Air Canada Jazz;JZA;JAZZ; Canada
Jersey European Airways;JEA;JERSEY; Reino Unido
Executive Aviation Services Ltd;JTR;JESTER; Reino Unido
Jet Airways;JAI;JET AIRWAYS; India
Britt Airways;BTA;JET LINK; Estados Unidos
USA Jet Airlines;JUS;JET USA; Estados Unidos
JetBlue Airways;JBU;JETBLUE; Estados Unidos
JetsGo Corporation;JGO;JETSGO; Canada
Jetstar Airways;JST;JETSTAR; Australia
Royal Jordanian;RJA;JORDANIAN; Jordania
JALways;JAZ;J-WAYS; Japon
Kalitta Flying Service;KFS;KALITTA; Estados Unidos
TTA - Transporte E Trabalho Aero;TTA;KANIMANBO; Mozambique
Air Lithuania;KLA;KAUNAS; Lituania
KD Air Corporation;KDC;KAY DEE; Canada
Kenmore Air Express;KEN;KENMORE; Estados Unidos
Kenya Airways;KQA;KENYA; Kenia
Thomas Cook Airlines;TCX;KESTREL; Reino Unido
KLM Royal Dutch Airlines;KLM;KLM; Paises Bajos
Knightair;KNT;KNIGHTWAY; Reino Unido
Western Pacific Airlines;KMR;KOMSTAR; Estados Unidos
Korean Air Lines;KAL;KOREANAIR; Corea del Sur
Air Foyle Charters;UPB;KRIS; Reino Unido
Kuwait Airways;KAC;KUWAITI; Kuwait
Labrador Airways;LAL;LAB AIR; Canada
LACSA - Lineas Aereas Costarricenses;LRC;LACSA; Costa Rica
Ladeco - Linea Aerea del Cobre;LCO;LADECO; Chile
Virgin Express France;VEF;LADYBIRD; Francia
Lionair;LIR;LAIR; Luxemburgo
Great Lakes Airlines;GLA;LAKES AIR; Estados Unidos
LAN Argentina;DSM;LAN ARGENTINA; Argentina
LAN Airlines;LAN;LAN CHILE; Chile
LAN Ecuador;LNE;LAN ECUADOR; Ecuador
LAN Peru;LPE;LAN PERU; Peru
Panorama Air Tours;PAH;LANI; Estados Unidos
LAPA;LPR;LAPA; Argentina
Lauda Air Luftfahrt GmbH;LDA;LAUDA; Austria
Legend Airlines;LGD;LEGENDARY; Estados Unidos
Leipzig Air;LHA;LEIPZIGAIR; Alemania
China United Airlines;CUA;LIANHANG; China
Libyan Arab Air Cargo;LCR;LIBAC; Libia
Libyan Arab Airlines;LAA;LIBAIR; Libia
GoJet Airlines;GJS;LINDBERGH; Estados Unidos
South African Airlink;LNK;LINK; Sudafrica
Lithuanian Airlines;LIL;LITHUANIA AIR; Lituania
Loganair;LOG;LOGAN; Reino Unido
London Executive Aviation;LNX;LONEX; Reino Unido
Cargo 360;GGC;LONG-HAUL; Estados Unidos
Express One International;LHN;LONGHORN; Estados Unidos
LOT Polish Airlines;LOT;POLLOT; Polonia
Lao Ailines o Lao Aviation;LAO;LAO; Laos
LTU - Lufttransportunternehmen;LTU;LTU; Alemania
Lufthansa;DLH;LUFTHANSA; Alemania
Lufttransport;LTR;LUFT TRANSPORT; Noruega
Luxair;LGL;LUXAIR; Luxemburgo
Macedonian Airlines;MCS;MACAIR; Grecia
McAlpine Helicopters;MCH;MACLINE; Reino Unido
Maersk Air;DAN;MAERSKAIR; Dinamarca
Majestic Airlines;MAJ;MAGIC AIR; Estados Unidos
MAT Macedonian Airlines;MAK;MAKAVIO; Republica de Macedonia
Air Malawi;AML;MALAWI; Malaui
Malaysia Airlines;MAS;MALAYSIAN; Malasia
Malev Hungarian Airlines;MAH;MALEV; Hungria
Manx Airlines;MNX;MANX; Reino Unido
Markair;MRK;MARKAIR; Estados Unidos
Martinaire;MRA;MARTEX; Estados Unidos
Martinair Holland;MPH;MARTINAIR; Paises Bajos
SkyEurope Airlines Hungary;HSK;MATRA; Hungria
Air Mauritius;MAU;MAURITIUS; Mauricio
Air Chaparral;MAV;MAVERICK; Estados Unidos
Magadan Airlines;MVL;MAVIAL; Rusia
Meridiana;ISS;MERAIR; Italia
Shuttle America;TCF;MERCURY; Estados Unidos
Air Alsie;MMD;MERMAID; Dinamarca
Mesaba Airlines;MES;MESABA; Estados Unidos
Island Helicopters;MTP;METROCOPTER; Estados Unidos
Mexicana de Aviacion;MXA;MEXICANA; Mexico
Midwest Airlines;MEP;MIDEX; Estados Unidos
BMI British Midland;BMA;MIDLAND; Estados Unidos
Sundt Air;MDT;MIDNIGHT; Noruega
Midway Airlines;MDW;MIDWAY; Estados Unidos
Airborne of Sweden;MIW;MIDWING; Suecia
Air Mauritanie;MRT;MIKE ROMEO; Mauritania
Million Air;OXO;MILL AIR; Estados Unidos
OpenSkies;BOS;MISTRAL; Reino Unido
Island Air;MKU;MOKU; Estados Unidos
Monarch Airlines;MON;MONARCH; Reino Unido
Mongolian Airlines;MGL;MONGOL AIR; Mongolia
Maya Island Air;MYD;MYLAND; Belice
MyTravel Lite;LIZ;MYLITE; Reino Unido
Newfoundland Labrador Air Transport;NLT;NALAIR; Canada
Air Namibia;NMB;NAMIBIA; Namibia
Southwest Air Lines;SWL;NANSEI; Japon
National Airways;NTN;NATCHAIR; Sudafrica
National Airlines;NAL;NATIONAL; Estados Unidos
Nationwide;NTW;NATIONWIDE; Sudafrica
Nova Airlines;NVR;NAVIGATOR; Suecia
Navegacion y Servicios Aereos Canarios;NAY;NAYSA; Espana
European Air Taxi;ETX;NEAT; Reino Unido
Northern Executive Aviation;NEX;NEATAX; Reino Unido
Atlantic Airlines;NPT;NEPTUNE; Reino Unido
New England Airlines;NEA;NEW ENGLAND; Estados Unidos
Air New Zealand;ANZ;NEW ZEALAND; Nueva Zelanda
Air Newark;NER;NEWAIR; Estados Unidos
Newair;NAW;NEWDAN; Dinamarca
Eos Airlines;ESS;NEW DAWN; Estados Unidos
Air Continental;NAR;NIGHT AIR; Estados Unidos
Air Cargo Carriers;SNC;NIGHT CARGO; Estados Unidos
TNT International Aviation;NTR;NITRO; Reino Unido
Air Niugini;ANG;NIUGINI; Papua Nueva Guinea
Norwegian Air Shuttle;NAX;NOR SHUTTLE; Noruega
Flugfelag Nordurlands;FNA;NORLAND; Islandia
Norsk Flytjeneste;NIR;NORSEMAN; Noruega
Norsk Helikopter;NOR;NORSKE; Noruega
Northern Jet Management;NTX;NORTAX; Estados Unidos
North American Airlines;NAO;NORTH AMERICAN; Estados Unidos
Northwest Airlines;NWA;NORTHWEST; Estados Unidos
Northamptonshire School of Flying;NSF;NORTON; Reino Unido
Air Nostrum;ANE;NOSTRUM AIR; Espana
Air Liberia;ALI;NOVEMBER LIMA; Liberia
Oasis Hong Kong Airlines;OHK;OASIS; Hong Kong
Ostfriesische Lufttransport;OLT;OLTRA; Alemania
Olympic Airlines;OAL;OLYMPIC; Grecia
Oman Air;OMA;OMAN AIR; Oman
Flight Options;OPT;OPTIONS; Estados Unidos
Air Holland;HLN;ORANGE; Paises Bajos
PLM Dollar Group;PDG;OSPREY; Reino Unido
Ozark Air Lines;OZA;OZARK; Estados Unidos
Westair Industries;PCM;PAC VALLEY; Estados Unidos
Air Pacific;FJI;PACIFIC; Fiyi
Pacific Airlines;PIC;PACIFIC AIRLINES; Vietnam
Pacific Coastal Airlines;PCO;PASCO; Canada
Pacific Air Express;PCF;PACIFIC EXPRESS; Estados Unidos
Pakistan International Airlines;PIA;PAKISTAN; Pakistan
Palau Micronesia Air;PMN;PALAU MIKE; Palaos
Air Florida / Midway Express;FLA;PALM; Estados Unidos
Leeds Central Helicopters;LEH;PATHFINDER; Reino Unido
Air Cargo America;MVM;PEGASUS; Estados Unidos
PeoplExpress Airlines;PEX;PEOPLE EXPRESS; Estados Unidos
Philippine Airlines;PAL;PHILIPPINE; Filipinas
Piedmont Airlines;PAI;PIEDMONT; Estados Unidos
Piedmont Airlines;PDT;PIEDMONT; Estados Unidos
Islas Airways;ISW;PINTADERA; Espana
Pak West Airlines;PKW;PLATINUM WEST; Estados Unidos
PLUNA;PUA;PLUNA; Uruguay
Polar Air Cargo;PAC;POLAR; Estados Unidos
Polet Flight;POT;POLET; Rusia
Polynesian Air-ways;PLA;POLYAIR; Estados Unidos
Polynesian Airlines;PAO;POLYNESIAN; Samoa
Porter Airlines;POE;PORTER; Canada
Portugalia;PGA;PORTUGALIA; Portugal
Capital Trading Aviation;EGL;PRESTIGE; Reino Unido
Pro Air;PRH;PROHAWK; Estados Unidos
Qantas Airways;QFA;QANTAS; Australia
Qatar Airways;QTR;QATARI; Catar
TNT Airways;TAY;QUALITY; Belgica
BAC Express Airlines;RPX;RAPEX; Reino Unido
AirNow;RLR;RATTLER; Estados Unidos
Ravenair;RVR;RAVEN; Reino Unido
Trans World Express;RBD;RED BIRD; Estados Unidos
Air Plus Comet;MPD;RED COMET; Espana
Air Wales;AWW;RED DRAGON; Reino Unido
Bond Air Services;RHD;RED HEAD; Reino Unido
Luxaviation;LXA;RED LION; Luxemburgo
National Airlines;ROK;RED ROCK; Estados Unidos
Virgin America;VRD;REDWOOD; Estados Unidos
GP Express Airlines;GPE;REGIONAL EXPRESS; Estados Unidos
SkyEurope Airlines;ESK;RELAX;Plantilla:SLK
Reno Air;ROA;RENO AIR; Estados Unidos
Republic Airlines;REP;REPUBLIC; Estados Unidos
Air Austral;REU;REUNION; Reunion
Aero Airlines;EAY;REVAL; Estonia
Embry-Riddle Aeronautical University;ERAU;RIDDLE; Estados Unidos
Royal Aviation Express;ROY;ROY EXPRESS; Canada
Druk Air Corporation;DRK;ROYAL BHUTAN; Butan
Royal Air Maroc;RAM;ROYALAIR MAROC; Marruecos
VLM Airlines;VLM;RUBENS; Belgica
Xtra Airways;CXP;RUBY MOUNTAIN; Estados Unidos
Avial;RLC;RUSHAIR; Rusia
Ryan International Airlines;RYN;RYAN; Estados Unidos
Ryanair;RYR;RYANAIR; Irlanda
Sabena;SAB;SABENA; Belgica
South West Air;SWC;SAINT CLAIR; Canada
Air Saint-Pierre;SPM;SAINT-PIERRE; San Pedro y Miquelon
Edinburgh Air Charter;EDC;SALTIRE; Reino Unido
SAM Colombia;SAM;SAM; Colombia
SMAC - Sabang Merauke Air Charter;SMC;SAMER; Indonesia
Santa Barbara Airlines;BBR;SANTA BARBARA; Venezuela
SATA Air Azores;SAT;SATA; Portugal
Satena;NSE;SATENA; Colombia
Saudi Arabian Airlines;SVA;SAUDIA; Arabia Saudita
