Alemania;1;;;
Angola;2;;;
Antigua;3;;;
Antillas Hol.;4;;;
Argelia;5;;;
Argentina;6;;;
Aruba;7;;;
Australia;8;;;
Austria;9;;;
Bahamas;10;;;
Barbados;11;;;
Belgica;12;;;
Bolivia;13;;;
Bosnia;14;;;
Brasil;15;;;
Bulgaria;16;;;
Canada;17;;;
CEI;18;;;
Chile;19;;;
China;20;;;
Colombia;21;;;
Congo;22;;;
Corea;23;;;
Costa Rica;24;;;
Cuba;25;;;
Dinamarca;26;;;
Ecuador;27;;;
Egipto;28;;;
El Salvador;29;;;
Escocia;30;;;
Eslovaquia;31;;;
Eslovenia;32;;;
Espana;33;;;
Filipinas;34;;;
Finlandia;35;;;
Francia;36;;;
Grecia;37;;;
Guadalupe;38;;;
Guatemala;39;;;
Guyana;41;;;
Guyana Fr.;40;;;
Haiti;42;;;
Hawaii;43;;;
Holanda;44;;;
Honduras;45;;;
Hong Kong;46;;;
Hungria;47;;;
India;48;;;
Indonesia;49;;;
Inglaterra;50;;;
Iran;51;;;
Irlanda;52;;;
Israel;53;;;
Italia;54;;;
Jamaica;55;;;
Japon;56;;;
Kenya;57;;;
Libano;58;;;
Malasia;59;;;
Malta;60;;;
Marruecos;61;;;
Mexico;62;;;
Myanmar;63;;;
Nicaragua;64;;;
Nigeria;65;;;
Noruega;66;;;
Nva. Zelanda;67;;;
Pakistan;68;;;
Panama;69;;;
Paraguay;70;;;
Peru;71;;;
Polinesia Fr.;72;;;
Polonia;73;;;
Portugal;74;;;
Puerto Rico;75;;;
Rep. Checa;76;;;
Rep. Dominicana;77;;;
Rumania;78;;;
Senegal;79;;;
Singapur;80;;;
Sudafrica;81;;;
Suecia;82;;;
Suiza;83;;;
Surinam;84;;;
Tailandia;86;;;
Taiwan;85;;;
Trinidad;87;;;
Turquia;88;;;
Ucrania;89;;;
Uruguay;90;;;
USA;91;;;
Venezuela;92;;;
Yugoslavia;93;;;
