TFS;Reina Sofia;57;Espana;33;Tenerife;86
VLC;Manises;10;Espana;33;Valencia;87
VGO;Peinador;8;Espana;33;Vigo;88
MNL;Ninoy Aquino Int.;12;Filipinas;34;Manila;89
HEL;Helsinki-Vantaa;18;Finlandia;35;Helsinki;90
LYS;Satolas;26;Francia;36;Lyon;91
CDG;Charles de Gaulle;26;Francia;36;Paris;92
ORY;Orly;14;Francia;36;Paris;92
ATH;Eleftherios Venizelos;14;Grecia;37;Atenas;93
PTP;Le Raizet;3,2;Guadalupe;38;Pointe a Pitre;94
GUA;La Aurora;6;Guatemala;39;Guatemala;95
CAY;Rochambeau;15;Guyana Fr.;40;Cayenne;96
GEO;Cheddi Jagan;40;Guyana;41;Georgetown;97
PAP;International;13;Haiti;42;Port;98
HNL;International;10;Hawaii;43;Honolulu;99
AMS;Schiphol Int.;14;Holanda;44;Amsterdam;100
RTM;Rotterdam;8;Holanda;44;Rotterdam;101
TGU;Toncontin;5;Honduras;45;Tegucigalpa;102
HKG;International;7;Hong Kong;46;Hong Kong;103
BUD;Ferihegy;19;Hungria;47;Budapest;104
CCU;Netaji Subhas;16;India;48;Calcuta;105
DEL;Indira Gandhi Int.;20;India;48;Nueva Delhi;106
BOM;Bombay;22;India;48;Mumbay;107
CGK;Soekarno-Hatta Int.;19,5;Indonesia;49;Jakarta;108
HLP;Halim Perdana Kusama;13;Indonesia;49;Jakarta;108
BFS;Belfast Int.;21;Inglaterra;50;Belfast;109
BHD;Belfast City;3,2;Inglaterra;50;Belfast;109
LHR;Heathrow;24;Inglaterra;50;Londres;110
LGW;Gatwick;46;Inglaterra;50;Londres;110
STN;Stansted;5,5;Inglaterra;50;Londres;110
LTN;Luton Int.;51;Inglaterra;50;Londres;110
LCY;London City Airport;10;Inglaterra;50;Londres;110
THR;Mehrabad;5;Iran;51;Teheran;111
SNN;Shannon;26;Irlanda;52;Shannon;112
TLV;Ben Gurion;14;Israel;53;Tel Aviv;113
BRI;Palese;12;Italia;54;Bari;114
GOA;C. Colombo;6;Italia;54;Genova;115
LIN;Linate;8;Italia;54;Milan;116
MXP;Malpensa;46;Italia;54;Milan;116
NAP;Napoles Int.;6;Italia;54;Napoles;117
FCO;Fiumicino;26;Italia;54;Roma;118
KIN;Norman Manley;17;Jamaica;55;Kingston;119
KTP;Tinson;3;Jamaica;55;Kingston;119
NGO;Komaki;18;Japon;56;Nagoya;120
KIX;Kansai Int.;55;Japon;56;Osaka;121
HND;Haneda;19;Japon;56;Tokio;122
NRT;Narita;65;Japon;56;Tokio;122
NBO;Kenyatta;13;Kenya;57;Nairobi;123
WIL;Wilson;3,2;Kenya;57;Nairobi;123
BEY;International;16;Libano;58;Beirut;124
KUL;International;22;Malasia;59;Kuala Lumpur;125
MLA;Luqa;5;Malta;60;Malta;126
CMN;Mohammed V;30;Marruecos;61;Casablanca;127
RBA;Sale;10;Marruecos;61;Rabat;128
ACA;Int. Gral. Juan Alvarez;26;Mexico;62;Acapulco;129
CUN;Cancun;25;Mexico;62;Cancun;130
MID;Manuel Rejon;8;Mexico;62;Merida;131
MEX;Benito Juarez;13;Mexico;62;Mexico;132
RGN;Yangon Int.;16;Myanmar;63;Yangon;133
MGA;Int. Augusto Sandino;11;Nicaragua;64;Managua;134
L0S;Murtala Muhammed;22;Nigeria;65;Lagos;135
BGO;Flesland;19;Noruega;66;Bergen;136
FBU;Fornebu;8;Noruega;66;Oslo;137
GEN;Gardermoen;45;Noruega;66;Oslo;137
AKL;International;22;Nva. Zelanda;67;Auckland;138
KHI;Quaid - E - Azam;12;Pakistan;68;Karachi;139
PTY;Tocumen Intl.;27;Panama;69;Panama;140
ASU;Silvio Pettirossi;16;Paraguay;70;Asuncion;141
IQT;Fco. Secada;1,6;Peru;71;Iquitos;142
LIM;Jorge Chavez Int.;16;Peru;71;Lima;143
PIU;Piura;4;Peru;71;Piura;144
PPT;Faaa;6,4;Polinesia Fr.;72;Papete;145
WAW;Okecie;10;Polonia;73;Varsovia;146
LIS;Lisboa;7;Portugal;74;Lisboa;147
OPO;Porto;11;Portugal;74;Oporto;148
SJU;L. Munoz Marin Int.;15;Puerto Rico;75;San Juan;149
SIG;Isla Grande;8;Puerto Rico;75;San Juan;149
PRG;Ruzyne;16;Rep. Checa;76;Praga;150
SDQ;Las Americas;30;Rep. Dominicana;77;Sto. Domingo;151
BBU;Baneasa;9;Rumania;78;Bucarest;152
OTP;Otopeni;16;Rumania;78;Bucarest;152
DKR;Yoff;16;Senegal;79;Dakar;153
SIN;Changi;20;Singapur;80;Singapur;154
CPT;Capetown Int.;22;Sudafrica;81;Ciudad del Cabo;155
JNB;Johannesburg Int.;24;Sudafrica;81;Johannesburgo;156
ARN;Arlanda;21;Suecia;82;Estocolmo;157
BMA;Bromma;8;Suecia;82;Estocolmo;157
BSL;Basel;8;Suiza;83;Basilea;158
GVA;Geneva/Cointrin;5;Suiza;83;Ginebra;159
ZRH;Zurich;13;Suiza;83;Zurich;160
PMB;Zanderij;45;Surinam;84;Paramaribo;161
TPE;Chiang Kai Shek Int.;45;Taiwan;85;Taipei;162
BKK;International;30;Tailandia;86;Bangkok;163
POS;Piarco;25,5;Trinidad;87;Puerto Espana;164
IST;Ataturk;24;Turquia;88;Estambul;165
KBP;Borispol;38;Ucrania;89;Kiev;166
IEV;Zhulhany;3;Ucrania;89;Kiev;166
MVD;Carrasco;19;Uruguay;90;Montevideo;167
MCO;International;16;USA;91;Orlando;168
ATL;Hartsfield Int.;16;USA;91;Atlanta;169
BWI;Baltimore-Wash Int.;16;USA;91;Baltimore;170
BOS;Logan Int.;6;USA;91;Boston;171
ORD;O'Hare-International;27;USA;91;Chicago;172
MDW;Midway;13;USA;91;Chicago;172
CGX;Meigs Field;1,6;USA;91;Chicago;172
DFW;Dallas/Ft.Worth Int.;29;USA;91;Dallas;173
HOU;Hobby;16;USA;91;Houston;174
IAH;George Bush;32;USA;91;Houston;174
LAX;International;24;USA;91;Los Angeles;175
MEM;International;16;USA;91;Memphis;176
MIA;International;11;USA;91;Miami;177
MSY;International;21;USA;91;Nueva Orleans;178
JFK;J. F. Kennedy Int.;22;USA;91;Nueva York;179
LGA;La Guardia;13;USA;91;Nueva York;179
EWR;Newark Int.;26;USA;91;Nueva York;179
PDX;International;16;USA;91;Portland;180
SFO;International;25;USA;91;San Francisco;181
OAK;Metropolitan Oakland;16;USA;91;San Francisco;181
SEA;Seattle-Tacoma Int.;32;USA;91;Seattle;182
IAD;Dulles Int.;43;USA;91;Washington;183
DCA;Reagan Int.;7;USA;91;Washington;183
BWI;Baltimore/Washington Int.;52;USA;91;Washington;183
CCS;Simon Bolivar;22;Venezuela;92;Caracas;184
MAR;La Chinita;17;Venezuela;92;Maracaibo;185
PMV;Del Caribe;15;Venezuela;92;Porlamar;186
BEG;Belgrade;18;Yugoslavia;93;Belgrado;187
